Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Type
P37275	ZEB1_HUMAN	reviewed	Zinc finger E-box-binding homeobox 1 (NIL-2-A zinc finger protein) (Negative regulator of IL2) (Transcription factor 8) (TCF-8)	ZEB1 AREB6 TCF8	Homo sapiens (Human)	1124	TFs
Q9Y2D9	ZN652_HUMAN	reviewed	Zinc finger protein 652	ZNF652 KIAA0924	Homo sapiens (Human)	606	TFs
Q8NCK3	ZN485_HUMAN	reviewed	Zinc finger protein 485	ZNF485	Homo sapiens (Human)	441	TFs
Q96K83	ZN521_HUMAN	reviewed	Zinc finger protein 521 (Early hematopoietic zinc finger protein) (LYST-interacting protein 3)	ZNF521 EHZF LIP3	Homo sapiens (Human)	1311	TFs
P17040	ZSC20_HUMAN	reviewed	Zinc finger and SCAN domain-containing protein 20 (Zinc finger protein 31) (Zinc finger protein 360) (Zinc finger protein KOX29)	ZSCAN20 KOX29 ZNF31 ZNF360	Homo sapiens (Human)	1043	TFs
Q96IT1	ZN496_HUMAN	reviewed	Zinc finger protein 496 (Zinc finger protein with KRAB and SCAN domains 17)	ZNF496 ZKSCAN17	Homo sapiens (Human)	587	TFs
Q9BS34	ZN670_HUMAN	reviewed	Zinc finger protein 670	ZNF670	Homo sapiens (Human)	389	TFs
P31629	ZEP2_HUMAN	reviewed	Transcription factor HIVEP2 (Human immunodeficiency virus type I enhancer-binding protein 2) (HIV-EP2) (MHC-binding protein 2) (MBP-2)	HIVEP2	Homo sapiens (Human)	2446	TFs
O75626	PRDM1_HUMAN	reviewed	PR domain zinc finger protein 1 (EC 2.1.1.-) (BLIMP-1) (Beta-interferon gene positive regulatory domain I-binding factor) (PR domain-containing protein 1) (Positive regulatory domain I-binding factor 1) (PRDI-BF1) (PRDI-binding factor 1)	PRDM1 BLIMP1	Homo sapiens (Human)	825	TFs
Q9H4Q3	PRD13_HUMAN	reviewed	PR domain zinc finger protein 13 (EC 2.1.1.-) (PR domain-containing protein 13)	PRDM13 PFM10	Homo sapiens (Human)	707	TFs
O60281	ZN292_HUMAN	reviewed	Zinc finger protein 292	ZNF292 KIAA0530	Homo sapiens (Human)	2723	TFs
Q96KM6	Z512B_HUMAN	reviewed	Zinc finger protein 512B	ZNF512B KIAA1196	Homo sapiens (Human)	892	TFs
Q99684	GFI1_HUMAN	reviewed	Zinc finger protein Gfi-1 (Growth factor independent protein 1) (Zinc finger protein 163)	GFI1 ZNF163	Homo sapiens (Human)	422	TFs
P51815	ZN75D_HUMAN	reviewed	Zinc finger protein 75D (Zinc finger protein 75) (Zinc finger protein 82)	ZNF75D ZNF75 ZNF82	Homo sapiens (Human)	510	TFs
Q5JPB2	ZN831_HUMAN	reviewed	Zinc finger protein 831	ZNF831 C20orf174	Homo sapiens (Human)	1677	TFs
O75362	ZN217_HUMAN	reviewed	Zinc finger protein 217	ZNF217 ZABC1	Homo sapiens (Human)	1048	TFs
Q5JT82	KLF17_HUMAN	reviewed	Krueppel-like factor 17 (Zinc finger protein 393)	KLF17 ZNF393	Homo sapiens (Human)	389	TFs
Q5T1R4	ZEP3_HUMAN	reviewed	Transcription factor HIVEP3 (Human immunodeficiency virus type I enhancer-binding protein 3) (Kappa-B and V(D)J recombination signal sequences-binding protein) (Kappa-binding protein 1) (KBP-1) (Zinc finger protein ZAS3)	HIVEP3 KBP1 KIAA1555 KRC ZAS3	Homo sapiens (Human)	2406	TFs
Q5T5D7	ZN684_HUMAN	reviewed	Zinc finger protein 684	ZNF684	Homo sapiens (Human)	378	TFs
Q49AA0	ZFP69_HUMAN	reviewed	Zinc finger protein 69 homolog (Zinc finger protein 642)	ZFP69 ZNF642	Homo sapiens (Human)	526	TFs
Q13129	RLF_HUMAN	reviewed	Zinc finger protein Rlf (Rearranged L-myc fusion gene protein) (Zn-15-related protein)	RLF	Homo sapiens (Human)	1914	TFs
Q14872	MTF1_HUMAN	reviewed	Metal regulatory transcription factor 1 (MRE-binding transcription factor) (Transcription factor MTF-1)	MTF1	Homo sapiens (Human)	753	TFs
Q15937	ZNF79_HUMAN	reviewed	Zinc finger protein 79 (ZNFpT7)	ZNF79	Homo sapiens (Human)	498	TFs
P36508	ZNF76_HUMAN	reviewed	Zinc finger protein 76 (Zinc finger protein 523)	ZNF76 D6S229E ZNF523	Homo sapiens (Human)	570	TFs
Q5T7W0	ZN618_HUMAN	reviewed	Zinc finger protein 618	ZNF618 KIAA1952	Homo sapiens (Human)	954	TFs
P17041	ZNF32_HUMAN	reviewed	Zinc finger protein 32 (C2H2-546) (Zinc finger protein KOX30)	ZNF32 KOX30	Homo sapiens (Human)	273	TFs
O43474	KLF4_HUMAN	reviewed	Krueppel-like factor 4 (Epithelial zinc finger protein EZF) (Gut-enriched krueppel-like factor)	KLF4 EZF GKLF	Homo sapiens (Human)	513	TFs
P98169	ZXDB_HUMAN	reviewed	Zinc finger X-linked protein ZXDB	ZXDB	Homo sapiens (Human)	803	TFs
Q9BYN7	ZN341_HUMAN	reviewed	Zinc finger protein 341	ZNF341	Homo sapiens (Human)	854	TFs
Q9Y2H8	ZN510_HUMAN	reviewed	Zinc finger protein 510	ZNF510 KIAA0972	Homo sapiens (Human)	683	TFs
Q7RTV3	ZN367_HUMAN	reviewed	Zinc finger protein 367 (C2H2 zinc finger protein ZFF29)	ZNF367 ZFF29	Homo sapiens (Human)	350	TFs
Q6BEB4	SP5_HUMAN	reviewed	Transcription factor Sp5	SP5	Homo sapiens (Human)	398	TFs
Q6P9A3	ZN549_HUMAN	reviewed	Zinc finger protein 549	ZNF549	Homo sapiens (Human)	640	TFs
O95409	ZIC2_HUMAN	reviewed	Zinc finger protein ZIC 2 (Zinc finger protein of the cerebellum 2)	ZIC2	Homo sapiens (Human)	532	TFs
Q9Y3M9	ZN337_HUMAN	reviewed	Zinc finger protein 337	ZNF337	Homo sapiens (Human)	751	TFs
Q02086	SP2_HUMAN	reviewed	Transcription factor Sp2	SP2 KIAA0048	Homo sapiens (Human)	613	TFs
P51508	ZNF81_HUMAN	reviewed	Zinc finger protein 81 (HFZ20)	ZNF81	Homo sapiens (Human)	661	TFs
P51786	ZN157_HUMAN	reviewed	Zinc finger protein 157 (Zinc finger protein HZF22)	ZNF157	Homo sapiens (Human)	506	TFs
Q13886	KLF9_HUMAN	reviewed	Krueppel-like factor 9 (Basic transcription element-binding protein 1) (BTE-binding protein 1) (GC-box-binding protein 1) (Transcription factor BTEB1)	KLF9 BTEB BTEB1	Homo sapiens (Human)	244	TFs
Q5JNZ3	ZN311_HUMAN	reviewed	Zinc finger protein 311 (Zinc finger protein zfp-31)	ZNF311 ZFP31	Homo sapiens (Human)	666	TFs
Q9BRR0	ZKSC3_HUMAN	reviewed	Zinc finger protein with KRAB and SCAN domains 3 (Zinc finger and SCAN domain-containing protein 13) (Zinc finger protein 306) (Zinc finger protein 309) (Zinc finger protein 47 homolog) (Zf47) (Zfp-47)	ZKSCAN3 ZFP47 ZNF306 ZNF309 ZSCAN13	Homo sapiens (Human)	538	TFs
Q969J2	ZKSC4_HUMAN	reviewed	Zinc finger protein with KRAB and SCAN domains 4 (P373c6.1) (Zinc finger protein 307) (Zinc finger protein 427)	ZKSCAN4 ZNF307 ZNF427	Homo sapiens (Human)	545	TFs
Q9H4T2	ZSC16_HUMAN	reviewed	Zinc finger and SCAN domain-containing protein 16 (Zinc finger protein 392) (Zinc finger protein 435)	ZSCAN16 ZNF392 ZNF435	Homo sapiens (Human)	348	TFs
P49910	ZN165_HUMAN	reviewed	Zinc finger protein 165 (Cancer/testis antigen 53) (CT53) (LD65) (Zinc finger and SCAN domain-containing protein 7)	ZNF165 ZPF165 ZSCAN7	Homo sapiens (Human)	485	TFs
Q99676	ZN184_HUMAN	reviewed	Zinc finger protein 184	ZNF184	Homo sapiens (Human)	751	TFs
Q9Y4X4	KLF12_HUMAN	reviewed	Krueppel-like factor 12 (Transcriptional repressor AP-2rep)	KLF12 AP2REP HSPC122	Homo sapiens (Human)	402	TFs
Q13887	KLF5_HUMAN	reviewed	Krueppel-like factor 5 (Basic transcription element-binding protein 2) (BTE-binding protein 2) (Colon krueppel-like factor) (GC-box-binding protein 2) (Intestinal-enriched krueppel-like factor) (Transcription factor BTEB2)	KLF5 BTEB2 CKLF IKLF	Homo sapiens (Human)	457	TFs
Q9P243	ZFAT_HUMAN	reviewed	Zinc finger protein ZFAT (Zinc finger gene in AITD susceptibility region) (Zinc finger protein 406)	ZFAT KIAA1485 ZFAT1 ZNF406	Homo sapiens (Human)	1243	TFs
Q6IV72	ZN425_HUMAN	reviewed	Zinc finger protein 425	ZNF425	Homo sapiens (Human)	752	TFs
P15822	ZEP1_HUMAN	reviewed	Zinc finger protein 40 (Cirhin interaction protein) (CIRIP) (Gate keeper of apoptosis-activating protein) (GAAP) (Human immunodeficiency virus type I enhancer-binding protein 1) (HIV-EP1) (Major histocompatibility complex-binding protein 1) (MBP-1) (Positive regulatory domain II-binding factor 1) (PRDII-BF1)	HIVEP1 ZNF40	Homo sapiens (Human)	2718	TFs
Q92766	RREB1_HUMAN	reviewed	Ras-responsive element-binding protein 1 (RREB-1) (Finger protein in nuclear bodies) (Raf-responsive zinc finger protein LZ321) (Zinc finger motif enhancer-binding protein 1) (Zep-1)	RREB1 FINB	Homo sapiens (Human)	1687	TFs
Q9H5H4	ZN768_HUMAN	reviewed	Zinc finger protein 768	ZNF768	Homo sapiens (Human)	540	TFs
Q6ZN30	BNC2_HUMAN	reviewed	Zinc finger protein basonuclin-2	BNC2	Homo sapiens (Human)	1099	TFs
Q92664	TF3A_HUMAN	reviewed	Transcription factor IIIA (TFIIIA)	GTF3A	Homo sapiens (Human)	365	TFs
Q8NEA6	GLIS3_HUMAN	reviewed	Zinc finger protein GLIS3 (GLI-similar 3) (Zinc finger protein 515)	GLIS3 ZNF515	Homo sapiens (Human)	775	TFs
O95201	ZN205_HUMAN	reviewed	Zinc finger protein 205 (Zinc finger protein 210)	ZNF205 ZNF210	Homo sapiens (Human)	554	TFs
P08048	ZFY_HUMAN	reviewed	Zinc finger Y-chromosomal protein	ZFY	Homo sapiens (Human)	801	TFs
A6NHJ4	ZN860_HUMAN	reviewed	Zinc finger protein 860	ZNF860	Homo sapiens (Human)	632	TFs
O95785	WIZ_HUMAN	reviewed	Protein Wiz (Widely-interspaced zinc finger-containing protein) (Zinc finger protein 803)	WIZ ZNF803	Homo sapiens (Human)	1651	TFs
Q2QGD7	ZXDC_HUMAN	reviewed	Zinc finger protein ZXDC (ZXD-like zinc finger protein)	ZXDC ZXDL	Homo sapiens (Human)	858	TFs
Q9H707	ZN552_HUMAN	reviewed	Zinc finger protein 552	ZNF552	Homo sapiens (Human)	407	TFs
Q9BUG6	ZSA5A_HUMAN	reviewed	Zinc finger and SCAN domain-containing protein 5A (Zinc finger protein 495)	ZSCAN5A ZNF495 ZSCAN5	Homo sapiens (Human)	496	TFs
A6NK53	ZN233_HUMAN	reviewed	Zinc finger protein 233	ZNF233	Homo sapiens (Human)	670	TFs
Q9UK12	ZN222_HUMAN	reviewed	Zinc finger protein 222	ZNF222	Homo sapiens (Human)	451	TFs
Q9H609	ZN576_HUMAN	reviewed	Zinc finger protein 576	ZNF576	Homo sapiens (Human)	170	TFs
Q5MCW4	ZN569_HUMAN	reviewed	Zinc finger protein 569	ZNF569	Homo sapiens (Human)	686	TFs
Q969W8	ZN566_HUMAN	reviewed	Zinc finger protein 566	ZNF566	Homo sapiens (Human)	418	TFs
Q2M3W8	ZN181_HUMAN	reviewed	Zinc finger protein 181 (HHZ181)	ZNF181	Homo sapiens (Human)	571	TFs
Q6ZR52	ZN493_HUMAN	reviewed	Zinc finger protein 493	ZNF493	Homo sapiens (Human)	646	TFs
Q86T29	ZN605_HUMAN	reviewed	Zinc finger protein 605	ZNF605	Homo sapiens (Human)	641	TFs
Q2TB10	ZN800_HUMAN	reviewed	Zinc finger protein 800	ZNF800 PP902	Homo sapiens (Human)	664	TFs
P17027	ZNF23_HUMAN	reviewed	Zinc finger protein 23 (Zinc finger protein 359) (Zinc finger protein 612) (Zinc finger protein KOX16)	ZNF23 KOX16 ZNF359 ZNF612	Homo sapiens (Human)	643	TFs
Q6NSZ9	ZSC25_HUMAN	reviewed	Zinc finger and SCAN domain-containing protein 25 (Zinc finger protein 498)	ZSCAN25 ZNF498	Homo sapiens (Human)	544	TFs
P0CG40	SP9_HUMAN	reviewed	Transcription factor Sp9	SP9	Homo sapiens (Human)	484	TFs
A8K8V0	ZN785_HUMAN	reviewed	Zinc finger protein 785	ZNF785	Homo sapiens (Human)	405	TFs
Q14929	ZN169_HUMAN	reviewed	Zinc finger protein 169	ZNF169	Homo sapiens (Human)	603	TFs
Q5JVG2	ZN484_HUMAN	reviewed	Zinc finger protein 484	ZNF484	Homo sapiens (Human)	852	TFs
Q96MN9	ZN488_HUMAN	reviewed	Zinc finger protein 488	ZNF488	Homo sapiens (Human)	340	TFs
Q8NDW4	ZN248_HUMAN	reviewed	Zinc finger protein 248	ZNF248	Homo sapiens (Human)	579	TFs
P10071	GLI3_HUMAN	reviewed	Transcriptional activator GLI3 (GLI3 form of 190 kDa) (GLI3-190) (GLI3 full-length protein) (GLI3FL) [Cleaved into: Transcriptional repressor GLI3R (GLI3 C-terminally truncated form) (GLI3 form of 83 kDa) (GLI3-83)]	GLI3	Homo sapiens (Human)	1580	TFs
Q96CX3	ZN501_HUMAN	reviewed	Zinc finger protein 501 (Zinc finger protein 52)	ZNF501 ZNF52	Homo sapiens (Human)	271	TFs
P13682	ZNF35_HUMAN	reviewed	Zinc finger protein 35 (Zinc finger protein HF.10)	ZNF35	Homo sapiens (Human)	527	TFs
P59923	ZN445_HUMAN	reviewed	Zinc finger protein 445 (Zinc finger protein 168) (Zinc finger protein with KRAB and SCAN domains 15)	ZNF445 ZKSCAN15 ZNF168	Homo sapiens (Human)	1031	TFs
Q9NXT0	ZN586_HUMAN	reviewed	Zinc finger protein 586	ZNF586	Homo sapiens (Human)	402	TFs
P52741	ZN134_HUMAN	reviewed	Zinc finger protein 134	ZNF134	Homo sapiens (Human)	427	TFs
Q6ZN06	ZN813_HUMAN	reviewed	Zinc finger protein 813	ZNF813	Homo sapiens (Human)	617	TFs
Q7L2R6	ZN765_HUMAN	reviewed	Zinc finger protein 765	ZNF765	Homo sapiens (Human)	523	TFs
Q9H7R5	ZN665_HUMAN	reviewed	Zinc finger protein 665 (Zinc finger protein 160-like)	ZNF665 ZFP160L	Homo sapiens (Human)	613	TFs
P52747	ZN143_HUMAN	reviewed	Zinc finger protein 143 (SPH-binding factor) (Selenocysteine tRNA gene transcription-activating factor) (hStaf)	ZNF143 SBF STAF	Homo sapiens (Human)	638	TFs
Q8TF68	ZN384_HUMAN	reviewed	Zinc finger protein 384 (CAG repeat protein 1) (CAS-interacting zinc finger protein) (Nuclear matrix transcription factor 4) (Nuclear matrix protein 4) (Trinucleotide repeat-containing gene 1 protein)	ZNF384 CAGH1 CIZ NMP4 TNRC1	Homo sapiens (Human)	577	TFs
O43623	SNAI2_HUMAN	reviewed	Zinc finger protein SNAI2 (Neural crest transcription factor Slug) (Protein snail homolog 2)	SNAI2 SLUG SLUGH	Homo sapiens (Human)	268	TFs
Q9NX65	ZSC32_HUMAN	reviewed	Zinc finger and SCAN domain-containing protein 32 (Human cervical cancer suppressor gene 5 protein) (HCCS-5) (Zinc finger protein 434)	ZSCAN32 ZNF434 HCCS5	Homo sapiens (Human)	697	TFs
P17025	ZN182_HUMAN	reviewed	Zinc finger protein 182 (Zinc finger protein 21) (Zinc finger protein KOX14)	ZNF182 KOX14 ZNF21	Homo sapiens (Human)	639	TFs
Q8IWY8	ZSC29_HUMAN	reviewed	Zinc finger and SCAN domain-containing protein 29 (Zinc finger protein 690)	ZSCAN29 ZNF690	Homo sapiens (Human)	852	TFs
Q5VV52	ZN691_HUMAN	reviewed	Zinc finger protein 691	ZNF691	Homo sapiens (Human)	315	TFs
P51814	ZNF41_HUMAN	reviewed	Zinc finger protein 41	ZNF41	Homo sapiens (Human)	821	TFs
A8MXY4	ZNF99_HUMAN	reviewed	Zinc finger protein 99	ZNF99 C19orf9	Homo sapiens (Human)	864	TFs
Q8N7Q3	ZN676_HUMAN	reviewed	Zinc finger protein 676	ZNF676	Homo sapiens (Human)	588	TFs
O43345	ZN208_HUMAN	reviewed	Zinc finger protein 208 (Zinc finger protein 91-like)	ZNF208 ZNF91L	Homo sapiens (Human)	1280	TFs
Q8N972	ZN709_HUMAN	reviewed	Zinc finger protein 709	ZNF709	Homo sapiens (Human)	641	TFs
Q147U1	ZN846_HUMAN	reviewed	Zinc finger protein 846	ZNF846	Homo sapiens (Human)	533	TFs
Q6ZN18	AEBP2_HUMAN	reviewed	Zinc finger protein AEBP2 (Adipocyte enhancer-binding protein 2) (AE-binding protein 2)	AEBP2	Homo sapiens (Human)	517	TFs
O14628	ZN195_HUMAN	reviewed	Zinc finger protein 195	ZNF195 ZNFP104	Homo sapiens (Human)	629	TFs
Q96JF6	ZN594_HUMAN	reviewed	Zinc finger protein 594 (Zinc finger protein HZF18)	ZNF594 KIAA1871	Homo sapiens (Human)	807	TFs
P0CH99	Z705D_HUMAN	reviewed	Zinc finger protein 705D	ZNF705D	Homo sapiens (Human)	300	TFs
P0CI00	Z705B_HUMAN	reviewed	Putative zinc finger protein 705B	ZNF705B	Homo sapiens (Human)	300	TFs
A8MUZ8	Z705G_HUMAN	reviewed	Putative zinc finger protein 705G	ZNF705G	Homo sapiens (Human)	300	TFs
Q16587	ZNF74_HUMAN	reviewed	Zinc finger protein 74 (Zinc finger protein 520) (hZNF7)	ZNF74 ZNF520	Homo sapiens (Human)	644	TFs
Q96N22	ZN681_HUMAN	reviewed	Zinc finger protein 681	ZNF681	Homo sapiens (Human)	645	TFs
Q9NQX0	PRDM6_HUMAN	reviewed	Putative histone-lysine N-methyltransferase PRDM6 (EC 2.1.1.43) (PR domain zinc finger protein 6) (PR domain-containing protein 6)	PRDM6 PFM3	Homo sapiens (Human)	595	TFs
Q8IZ20	ZN683_HUMAN	reviewed	Tissue-resident T-cell transcription regulator protein ZNF683 (Homolog of Blimp-1 in T-cell) (Hobit) (Zinc finger protein 683)	ZNF683	Homo sapiens (Human)	524	TFs
Q3KQV3	ZN792_HUMAN	reviewed	Zinc finger protein 792	ZNF792	Homo sapiens (Human)	632	TFs
Q12901	ZN155_HUMAN	reviewed	Zinc finger protein 155	ZNF155	Homo sapiens (Human)	538	TFs
P17014	ZNF12_HUMAN	reviewed	Zinc finger protein 12 (Gonadotropin-inducible ovary transcription repressor 3) (GIOT-3) (Zinc finger protein 325) (Zinc finger protein KOX3)	ZNF12 GIOT3 KOX3 ZNF325	Homo sapiens (Human)	697	TFs
Q6ZSS3	ZN621_HUMAN	reviewed	Zinc finger protein 621	ZNF621	Homo sapiens (Human)	439	TFs
Q2M218	ZN630_HUMAN	reviewed	Zinc finger protein 630	ZNF630	Homo sapiens (Human)	657	TFs
Q96ND8	ZN583_HUMAN	reviewed	Zinc finger protein 583 (Zinc finger protein L3-5)	ZNF583	Homo sapiens (Human)	569	TFs
Q96HQ0	ZN419_HUMAN	reviewed	Zinc finger protein 419	ZNF419 ZNF419A	Homo sapiens (Human)	510	TFs
O15391	TYY2_HUMAN	reviewed	Transcription factor YY2 (Yin and yang 2) (YY-2) (Zinc finger protein 631)	YY2 ZNF631	Homo sapiens (Human)	372	TFs
Q6ZMS4	ZN852_HUMAN	reviewed	Zinc finger protein 852	ZNF852	Homo sapiens (Human)	543	TFs
Q8NB42	ZN527_HUMAN	reviewed	Zinc finger protein 527	ZNF527 KIAA1829	Homo sapiens (Human)	609	TFs
P10070	GLI2_HUMAN	reviewed	Zinc finger protein GLI2 (GLI family zinc finger protein 2) (Tax helper protein)	GLI2 THP	Homo sapiens (Human)	1586	TFs
Q9BU19	ZN692_HUMAN	reviewed	Zinc finger protein 692	ZNF692	Homo sapiens (Human)	519	TFs
Q9Y6R6	Z780B_HUMAN	reviewed	Zinc finger protein 780B (Zinc finger protein 779)	ZNF780B ZNF779	Homo sapiens (Human)	833	TFs
Q08AG5	ZN844_HUMAN	reviewed	Zinc finger protein 844	ZNF844	Homo sapiens (Human)	666	TFs
Q15072	OZF_HUMAN	reviewed	Zinc finger protein OZF (Only zinc finger protein) (Zinc finger protein 146)	ZNF146 OZF	Homo sapiens (Human)	292	TFs
P17097	ZNF7_HUMAN	reviewed	Zinc finger protein 7 (Zinc finger protein HF.16) (Zinc finger protein KOX4)	ZNF7 KOX4	Homo sapiens (Human)	686	TFs
P51523	ZNF84_HUMAN	reviewed	Zinc finger protein 84 (Zinc finger protein HPF2)	ZNF84	Homo sapiens (Human)	738	TFs
A6NP11	ZN716_HUMAN	reviewed	Zinc finger protein 716	ZNF716	Homo sapiens (Human)	495	TFs
Q96I27	ZN625_HUMAN	reviewed	Zinc finger protein 625	ZNF625	Homo sapiens (Human)	306	TFs
Q9NU63	ZFP57_HUMAN	reviewed	Zinc finger protein 57 homolog (Zfp-57) (Zinc finger protein 698)	ZFP57 C6orf40 ZNF698	Homo sapiens (Human)	452	TFs
Q92618	ZN516_HUMAN	reviewed	Zinc finger protein 516	ZNF516 KIAA0222	Homo sapiens (Human)	1163	TFs
Q6NUN9	ZN746_HUMAN	reviewed	Zinc finger protein 746 (Parkin-interacting substrate) (PARIS)	ZNF746 PARIS	Homo sapiens (Human)	644	TFs
Q9P0L1	ZKSC7_HUMAN	reviewed	Zinc finger protein with KRAB and SCAN domains 7 (Zinc finger protein 167) (Zinc finger protein 448) (Zinc finger protein 64)	ZKSCAN7 ZNF167 ZNF448 ZNF64	Homo sapiens (Human)	754	TFs
O75373	ZN737_HUMAN	reviewed	Zinc finger protein 737 (Zinc finger protein 102)	ZNF737 ZNF102	Homo sapiens (Human)	536	TFs
Q9NR11	ZN302_HUMAN	reviewed	Zinc finger protein 302 (Zinc finger protein 135-like) (Zinc finger protein 140-like) (Zinc finger protein 327)	ZNF302 ZNF135L ZNF140L ZNF327	Homo sapiens (Human)	478	TFs
Q09FC8	ZN415_HUMAN	reviewed	Zinc finger protein 415	ZNF415	Homo sapiens (Human)	603	TFs
Q5TEC3	ZN697_HUMAN	reviewed	Zinc finger protein 697	ZNF697	Homo sapiens (Human)	545	TFs
Q96RE9	ZN300_HUMAN	reviewed	Zinc finger protein 300	ZNF300	Homo sapiens (Human)	604	TFs
P17035	ZNF28_HUMAN	reviewed	Zinc finger protein 28 (Zinc finger protein KOX24)	ZNF28 KOX24	Homo sapiens (Human)	718	TFs
Q9UJL9	ZF69B_HUMAN	reviewed	Zinc finger protein 69 homolog B (Zinc finger protein 643)	ZFP69B ZNF643	Homo sapiens (Human)	534	TFs
B4DX44	ZN736_HUMAN	reviewed	Zinc finger protein 736	ZNF736	Homo sapiens (Human)	427	TFs
P52736	ZN133_HUMAN	reviewed	Zinc finger protein 133 (Zinc finger protein 150)	ZNF133 ZNF150	Homo sapiens (Human)	654	TFs
Q9HCX3	ZN304_HUMAN	reviewed	Zinc finger protein 304 (KRAB-containing zinc finger protein)	ZNF304	Homo sapiens (Human)	659	TFs
Q9UK11	ZN223_HUMAN	reviewed	Zinc finger protein 223	ZNF223	Homo sapiens (Human)	482	TFs
Q06730	ZN33A_HUMAN	reviewed	Zinc finger protein 33A (Zinc finger and ZAK-associated protein with KRAB domain) (ZZaPK) (Zinc finger protein 11A) (Zinc finger protein KOX31)	ZNF33A KIAA0065 KOX31 ZNF11 ZNF11A ZNF33	Homo sapiens (Human)	810	TFs
Q15776	ZKSC8_HUMAN	reviewed	Zinc finger protein with KRAB and SCAN domains 8 (LD5-1) (Zinc finger protein 192)	ZKSCAN8 ZNF192	Homo sapiens (Human)	578	TFs
Q9UC07	ZNF69_HUMAN	reviewed	Zinc finger protein 69 (hZNF3)	ZNF69	Homo sapiens (Human)	566	TFs
Q96K58	ZN668_HUMAN	reviewed	Zinc finger protein 668	ZNF668	Homo sapiens (Human)	619	TFs
O15535	ZSC9_HUMAN	reviewed	Zinc finger and SCAN domain-containing protein 9 (Cell proliferation-inducing gene 12 protein) (PRD51) (Zinc finger protein 193)	ZSCAN9 ZNF193 PIG12	Homo sapiens (Human)	394	TFs
Q96MU6	ZN778_HUMAN	reviewed	Zinc finger protein 778	ZNF778	Homo sapiens (Human)	729	TFs
Q96EG3	ZN837_HUMAN	reviewed	Zinc finger protein 837	ZNF837	Homo sapiens (Human)	531	TFs
P98182	ZN200_HUMAN	reviewed	Zinc finger protein 200	ZNF200 ZNFMF	Homo sapiens (Human)	395	TFs
Q6PDB4	ZN880_HUMAN	reviewed	Zinc finger protein 880	ZNF880	Homo sapiens (Human)	577	TFs
Q8TBZ5	ZN502_HUMAN	reviewed	Zinc finger protein 502	ZNF502	Homo sapiens (Human)	544	TFs
Q8TF45	ZN418_HUMAN	reviewed	Zinc finger protein 418	ZNF418 KIAA1956	Homo sapiens (Human)	676	TFs
Q86VK4	ZN410_HUMAN	reviewed	Zinc finger protein 410 (Another partner for ARF 1) (Zinc finger protein APA-1)	ZNF410 APA1	Homo sapiens (Human)	478	TFs
P52746	ZN142_HUMAN	reviewed	Zinc finger protein 142 (HA4654)	ZNF142 KIAA0236	Homo sapiens (Human)	1687	TFs
Q8IXZ3	SP8_HUMAN	reviewed	Transcription factor Sp8 (Specificity protein 8)	SP8	Homo sapiens (Human)	490	TFs
Q9UIE0	ZN230_HUMAN	reviewed	Zinc finger protein 230 (Zinc finger protein FDZF2)	ZNF230 FDZF2	Homo sapiens (Human)	474	TFs
Q8NDX6	ZN740_HUMAN	reviewed	Zinc finger protein 740 (OriLyt TD-element-binding protein 7)	ZNF740 TB7	Homo sapiens (Human)	193	TFs
Q7Z7L9	ZSCA2_HUMAN	reviewed	Zinc finger and SCAN domain-containing protein 2 (Zinc finger protein 29 homolog) (Zfp-29) (Zinc finger protein 854)	ZSCAN2 ZFP29 ZNF854	Homo sapiens (Human)	614	TFs
Q03938	ZNF90_HUMAN	reviewed	Zinc finger protein 90 (Zinc finger protein HTF9)	ZNF90	Homo sapiens (Human)	601	TFs
B7Z6K7	ZN814_HUMAN	reviewed	Putative uncharacterized zinc finger protein 814 (Putative zinc finger protein LOC730051)	ZNF814	Homo sapiens (Human)	855	TFs
Q6V9R5	ZN562_HUMAN	reviewed	Zinc finger protein 562	ZNF562	Homo sapiens (Human)	426	TFs
Q6ZMS7	ZN783_HUMAN	reviewed	Protein ZNF783	ZNF783	Homo sapiens (Human)	281	TFs
Q2VY69	ZN284_HUMAN	reviewed	Zinc finger protein 284	ZNF284 ZNF284L	Homo sapiens (Human)	593	TFs
Q9BSG1	ZNF2_HUMAN	reviewed	Zinc finger protein 2 (Zinc finger protein 2.2) (Zinc finger protein 661)	ZNF2 ZNF661	Homo sapiens (Human)	426	TFs
Q96GE5	ZN799_HUMAN	reviewed	Zinc finger protein 799 (Zinc finger protein 842)	ZNF799 ZNF842	Homo sapiens (Human)	643	TFs
A0PJY2	FEZF1_HUMAN	reviewed	Fez family zinc finger protein 1 (Zinc finger protein 312B)	FEZF1 FEZ ZNF312B	Homo sapiens (Human)	475	TFs
Q5CZA5	ZN805_HUMAN	reviewed	Zinc finger protein 805	ZNF805	Homo sapiens (Human)	627	TFs
Q9P255	ZN492_HUMAN	reviewed	Zinc finger protein 492 (Zinc finger protein 115)	ZNF492 KIAA1473 ZNF115	Homo sapiens (Human)	531	TFs
Q96LW9	ZSC31_HUMAN	reviewed	Zinc finger and SCAN domain-containing protein 31 (Zinc finger protein 323)	ZSCAN31 ZNF310P ZNF323	Homo sapiens (Human)	406	TFs
Q86XF7	ZN575_HUMAN	reviewed	Zinc finger protein 575	ZNF575	Homo sapiens (Human)	245	TFs
